time,Adolescent fertility rate ,Agriculture_value added (% of GDP),Births attended by skilled health staff,CO2 emissions (metric tons per capita),Contraceptive prevalence_ any methods,DJIA,Electric power consumption (kWh per capita),Energy use ,Exports of goods and services (% of GDP),Fertility rate_total ,Forest area,GDP growth (annual %),GDP per capita (current US$),GNI per capita_Atlas method,GNI per capita_PPP,Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),Immunization_measles ,Imports of goods and services (% of GDP),Improved sanitation facilities,Improved water source ,Industry_value added (% of GDP),Inflation_GDP deflator (annual %),Inflation_consumer prices (annual %),Life expectancy at birth_total,Market capitalization of listed domestic companies (% of GDP),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Mortality rate_under-5 ,NASDAQ,Net barter terms of trade index (2000 = 100),Net migration,Number,Population,Population growth,Prevalence of underweight_weight for age,Revenue_excluding grants (% of GDP),Rusell1000,Russell1000,SP500,School enrollment_primary and secondary,School enrollment_secondary ,Services_value added (% of GDP),Surface area,Water productivity_total,happiness,internet_usage,nkill,nkillus
-1.58E+17,88.74183406,*,*,75.37840862,*,4.742615538,36.26851407,72.72629873,37.3965309,87.3015873,*,79.89985563,6.200651168,6.35451505,*,92.16444225,*,*,23.5118021,*,*,*,16.10861758,9.686721269,89.10915625,*,28.36104243,85.28862195,*,92.02657807,*,*,*,*,59.38491533,81.61292303,*,*,*,*,3.335035428,*,*,*,97.94110976,*,74.9925,*,*,*
-1.26E+17,85.76326788,*,*,77.52676119,*,5.178263197,38.19661842,74.75217935,36.55416611,79.72085386,*,88.16535793,6.640613043,6.829783489,*,95.17703895,*,*,24.30467683,*,*,*,20.56315172,12.35039583,89.17110644,*,28.25695607,79.59149277,*,90.03322259,*,*,*,*,60.13198882,73.45340491,*,*,*,*,3.613814633,*,*,*,97.94110976,*,70.9929,*,*,*
-9.48E+16,82.7847017,*,*,80.50024164,*,4.962648846,40.79172761,78.11123145,36.77277905,74.46633826,*,89.54294165,7.193700686,7.375462067,*,96.78327012,*,*,26.12121533,*,*,*,31.04866207,22.140192,89.16800892,*,29.57512451,89.08747032,*,87.7076412,*,*,*,*,60.83047469,67.85535207,*,*,*,*,3.494406143,*,*,*,97.94110976,*,80.908575,*,*,*
-6.32E+16,79.80613551,*,*,82.62033284,*,5.000736326,42.96623598,80.70034605,36.99081645,70.00547345,*,34.43959294,7.523534158,7.692307692,*,92.69503437,*,*,26.57014235,*,*,*,33.75318498,20.54600633,89.6109528,*,29.04530128,100,*,85.3820598,*,*,17.99177527,*,61.49646564,63.97684066,*,*,*,*,3.767857051,*,*,*,97.94110976,*,*,*,*,*
-3.16E+16,78.20707118,*,*,84.80184586,*,5.139917839,46.59362566,83.82485269,37.24044891,67.43295019,*,66.12401845,8.147247352,8.343601479,*,91.47574269,*,*,28.3714568,*,*,*,46.77672,31.22070825,88.8365754,*,30.79206759,97.83014873,*,82.72425249,*,*,*,*,62.11355949,58.6642351,*,*,*,*,4.04516756,*,*,*,97.94110976,*,*,*,*,*
-8.64E+13,76.60800685,*,*,88.21604677,*,4.979355136,50.38341406,86.89284548,37.28812271,67.21401204,*,42.70509525,8.730578531,8.924485126,*,94.77780296,*,*,28.41259264,*,*,*,53.11010496,40.08107217,89.54280758,*,31.06334925,91.20203568,*,80.06644518,*,*,*,*,62.7235354,57.41756517,100,*,*,*,4.010157919,*,*,*,97.94110976,*,*,*,*,*
3.14E+16,75.00894252,*,*,93.78367982,85.56962025,4.282235867,52.8046726,89.69797396,40.66702242,67.87082649,*,44.17645463,9.103142432,9.434958634,*,85.19128688,*,*,29.73955013,*,*,*,23.68663367,43.63856907,89.92380127,*,32.94829537,84.76100092,*,77.40863787,*,*,*,100,63.45853935,68.44933085,*,*,*,*,3.410929497,*,*,*,97.94110976,*,66.66,*,1.098169717,0.928473177
6.30E+16,73.40987819,*,*,93.20151455,*,5.031389488,54.85251109,90.59207924,39.50897377,62.01423098,*,45.39795083,9.756460072,10.03344482,*,87.1929934,*,*,30.63377338,*,*,*,54.38698026,31.50353288,90.30479495,*,32.7904581,73.21709145,*,74.41860465,*,*,*,52.77777778,64.26596054,74.28549105,*,*,*,*,4.028328776,*,85.93600922,*,97.94110976,*,72.9927,*,0.665557404,0.515818432
9.46E+16,71.81081386,*,*,96.61519127,*,5.402373324,58.93220374,94.10545763,40.47843602,55.00821018,*,72.50585102,10.60048753,11.07199437,*,89.81228901,*,*,33.20737288,*,*,*,46.37004759,24.46905114,90.36674514,*,35.07051122,69.14299552,*,71.42857143,*,*,34.14388915,13.67521368,64.95763795,62.89819595,*,81.32372878,*,*,4.476110617,*,86.96697583,*,97.94110976,*,71.14103333,*,0.332778702,0.171939477
1.26E+17,69.86063784,*,*,100,88.10126582,5.254268435,62.55715972,96.74346814,48.86768623,51.42309797,*,77.73876907,11.69595364,12.86745291,*,92.83549508,*,*,36.61689286,*,*,*,58.2893991,46.04258905,90.62074093,*,41.90391664,62.64646391,*,68.43853821,*,*,*,12.39316239,65.58061182,56.0799518,*,83.26352328,*,*,4.402949007,*,*,*,97.94110976,*,74.3259,*,1.49750416,1.272352132
1.58E+17,67.91046181,*,*,95.52365308,*,4.316416152,61.6577106,93.73321478,59.9193407,50.21893815,*,-7.124237041,12.56535812,14.08202781,*,90.29254667,*,*,47.22431626,*,*,*,96.21710874,81.68597019,91.38272829,*,56.21266286,63.34750416,*,65.44850498,*,*,*,20.08547009,66.18254138,53.68179045,*,87.40077949,*,*,3.383570744,*,87.28847258,*,97.94110976,*,72.04835,*,0.532445923,0.37826685
1.89E+17,65.96028578,*,*,90.63392476,100,4.565231396,62.18647954,90.7311906,60.17959792,48.54953476,*,-2.723187339,13.56751429,15.01496215,*,80.66830547,*,*,41.6979231,*,*,*,99.1986184,67.59701238,92.20666585,27.24249833,52.6341319,59.77929323,*,62.45847176,*,*,*,31.83760684,66.83831965,57.93127211,*,84.19557245,*,*,3.531260193,*,87.31348821,*,97.94110976,*,73.8815,*,0.798668885,0.240715268
2.21E+17,64.01010976,*,*,93.98964117,85.69620253,5.544999683,65.44365158,95.99638875,58.35061645,47.56431308,*,74.19789956,14.9404526,15.80707622,*,87.68778211,*,*,46.19273396,*,*,*,58.79174131,42.46702062,92.52570933,30.74803279,54.96430333,55.36199368,*,59.46843854,*,*,*,22.43589744,67.47645782,55.82985203,*,80.77873394,*,*,4.181551456,*,87.49341472,*,97.94110976,*,73.49265,*,0.133111481,0.034387895
2.52E+17,62.05993373,*,*,95.6549408,*,5.08516022,68.1358059,98.18884951,55.97688386,48.98741106,*,63.48728749,16.43235371,16.91603591,*,93.63117832,*,*,50.18803371,*,*,*,66.4396583,48.01452551,93.03370091,26.14528536,56.28126624,55.25899941,*,56.81063123,*,*,45.59657755,27.77777778,68.15854149,59.09378756,*,86.79594769,*,*,4.025323071,*,87.53745602,*,97.94110976,*,77.3256,*,0.133111481,0.034387895
2.84E+17,61.78553947,*,*,97.6118901,*,4.668973494,69.76169622,100,58.11050758,48.16639299,*,76.61686601,18.36853558,18.99313501,*,98.81478114,*,*,51.68283098,*,*,*,75.20448109,56.60858844,93.1606988,23.91192874,58.30270581,52.94651162,*,54.15282392,*,*,*,18.58974359,68.88457066,62.25485174,*,86.19347048,*,*,3.935561768,*,87.22233244,*,97.94110976,*,75.6591,*,0.266222962,0.137551582
3.15E+17,61.51114521,*,*,96.75643595,*,4.801243231,70.78434709,98.68030277,64.06526445,49.48002189,*,43.7477987,20.29133929,21.52790002,*,99.9553115,*,*,55.08455848,*,*,*,88.42848019,83.39429459,93.73064057,24.67775485,64.26163509,53.05798583,*,51.82724252,*,*,*,14.74358974,69.64897477,64.84026136,*,90.51669022,*,*,4.222572508,*,80.53550833,*,97.94110976,*,*,*,0.599001664,0.343878955
3.47E+17,61.23675095,*,*,92.34096044,*,5.066939853,71.96402677,94.12033231,71.87367333,50.34209086,*,-3.36951777,21.85647097,23.60499912,*,92.78810868,*,87.75510204,58.90138158,*,*,*,96.59705039,100,93.48283981,31.05529083,69.78603464,55.1368393,*,49.83388704,*,91.98606274,*,14.31623932,70.32053628,56.38037576,*,92.98605763,*,*,4.868560147,*,93.11057969,*,97.94110976,*,74.6592,*,0.499168053,0.37826685
3.79E+17,60.96235668,*,*,87.81098621,*,5.304540175,72.7982606,90.62778803,69.65726535,49.58949097,*,35.74100163,24.27760872,25.34765006,*,96.69352186,*,98.97959184,56.78590926,*,*,*,100,76.35836259,93.99083138,25.72582291,66.01838407,60.42778987,*,47.84053156,*,89.89547041,*,15.5982906,71.01407054,57.66272632,*,97.15608348,*,*,5.248030494,99.58025127,91.76875131,*,97.94110976,*,79.19208,*,0.266222962,0.103163686
4.10E+17,60.68796242,*,*,82.58558185,87.97468354,5.029435793,69.64433056,86.02432039,62.04015154,50.01368363,*,-26.32412422,25.05107121,25.04840697,*,87.97978571,*,98.97959184,52.01001402,*,*,*,66.44792524,45.6025404,94.43687276,28.47291531,58.33092986,72.94029513,*,46.17940199,*,90.7485282,39.50569863,16.66666667,71.69429735,56.01184558,*,96.15219075,*,*,4.907156141,99.13446018,95.06929896,*,97.94110976,38.09721965,78.9921,*,0.366056572,0.137551582
4.42E+17,61.08849333,*,*,82.50139247,*,6.770788978,71.08578162,85.31375507,55.789851,49.23371648,*,63.81597585,26.99847921,25.68209822,*,88.64020882,*,100,51.83412937,*,*,*,42.2907482,23.77931136,94.56696816,32.50688064,54.10774745,67.06306847,*,44.51827243,*,87.5554324,*,9.401709402,72.3528609,53.72399492,*,87.56162456,*,*,6.575322815,98.18593913,95.24369684,*,97.94110976,*,72.9927,*,0.266222962,0.206327373
4.73E+17,61.48902423,*,*,84.30146391,*,6.701243249,75.02876304,88.20768514,54.83555825,49.43897099,*,100,29.72733045,28.56891392,*,100,*,100,57.52954919,*,*,*,38.00498059,31.95758922,94.69396605,25.9213412,58.43195697,65.422416,0.030083404,43.18936877,*,87.37946684,*,13.46153846,72.98202428,50.87079967,*,86.68201721,*,*,6.577030602,98.51497671,97.284235,*,97.94110976,*,73.49265,*,0.099833611,0.034387895
5.05E+17,61.88955513,*,*,83.88193886,*,7.550986547,75.99072822,88.36106589,51.1139892,50.46524357,*,58.39215792,31.69674823,30.82203837,*,96.28532397,*,98.97959184,55.07917928,*,*,*,34.27087739,26.36034375,94.69396605,34.60463349,54.40726451,67.83325551,0.110617905,42.19269103,*,87.28837879,*,8.547008547,73.63161304,52.06420691,*,88.78249089,*,*,7.658401545,98.41752499,96.30629467,*,97.94110976,*,72.9927,*,0.099833611,0.068775791
5.36E+17,62.29008604,*,*,83.16409861,*,10.19560504,76.06529747,87.41104414,51.24345863,50.28735632,*,48.37542957,33.1638852,33.72645661,*,94.45512565,*,98.97959184,56.61355184,*,*,*,21.61066243,13.75886524,94.75901376,36.14613751,54.964885,69.94385749,0.219459652,41.19601329,*,97.30866279,*,10.47008547,74.31524409,54.29894706,*,87.43319074,*,*,9.687594462,98.70217332,97.42145742,*,97.94110976,*,74.3259,*,0.03327787,*
5.68E+17,62.69061694,*,*,85.96105737,*,12.95006809,79.43957862,90.32719754,54.75792778,51.23152709,*,47.68847255,34.87422084,37.77503961,*,93.90253349,*,83.67346939,59.93802879,*,*,*,27.32678969,27.69097168,94.95105936,33.98467046,57.67863294,67.57549301,0.392157921,40.19933555,*,98.09451222,39.81317392,7.264957265,74.98247294,52.51662716,*,91.09070708,*,*,11.7567496,97.78452581,97.6235375,*,97.94110976,*,73.9926,*,0.03327787,*
6.00E+17,64.18095902,*,*,88.89336266,94.05063291,11.72156974,82.4420372,93.02416462,62.02324167,52.92829776,*,57.91323348,37.27258712,41.50677698,*,90.75133535,*,100,60.5207956,*,*,*,37.4979915,29.67635164,94.95105936,34.59922135,61.62902044,63.72899653,0.652624157,39.53488372,*,98.8891572,*,5.769230769,75.66641346,53.34917118,*,89.35574934,*,*,10.89363388,*,*,*,97.94110976,*,71.82615,*,0.03327787,*
6.31E+17,65.67130109,*,99.49748744,89.18369887,*,14.27379082,84.14657576,93.50450707,65.31344515,55.11767926,*,50.7022998,39.76955103,41.99964795,*,89.52438222,93.88222644,95.91836735,59.94441084,*,*,*,41.64436961,35.73077732,95.27010284,39.08154661,62.68723006,61.38524321,1.095344165,38.53820598,*,97.91965572,*,8.974358974,76.38439627,55.48822344,*,90.19604828,*,*,13.23193631,*,*,*,97.94110976,*,74.6592,*,0.099833611,0.068775791
6.63E+17,67.16164317,*,99.69849246,85.83852283,89.49367089,15.23539071,85.47021668,90.91498707,67.62843737,56.95128626,97.53462649,26.44093269,41.56010485,42.51012146,40.42589438,85.61769602,94.95518834,91.83673469,60.43095226,99.5,99.19354839,*,39.62146988,39.95712833,95.52100113,33.82042621,63.04036971,58.47896277,1.632459943,37.20930233,*,97.69281479,*,6.837606838,77.25216515,66.37222762,*,88.52815398,*,*,13.71370311,96.97205986,93.27915962,*,97.94110976,*,74.9925,0.784728502,0.166389351,0.103163686
6.94E+17,68.65198524,*,99.69849246,84.6542443,*,16.65452476,88.54101871,90.43734622,70.60873524,56.44499179,97.56964801,-1.020576436,42.34202687,42.89737722,41.19250426,79.98995022,94.58020417,88.7755102,57.95309341,99.5,99.19354839,*,35.65152581,31.3483446,95.71304672,44.04422159,62.36331341,51.85007796,2.311805302,36.21262458,*,98.61266508,*,6.41025641,78.29138338,78.51154006,44.9999988,88.18108378,*,*,15.41834813,97.12838301,93.14818526,*,97.94110976,*,76.3257,1.163193726,0.06655574,*
7.26E+17,70.14232732,*,99.79899497,85.02417738,*,18.67329565,87.67113502,90.98168612,70.93647914,55.99343186,97.60466954,48.97855843,44.22929541,45.37933462,42.89608177,79.83300257,95.05245051,84.69387755,58.59866818,99.6,99.29435484,*,24.41614452,22.42013953,96.0320902,45.44549655,63.43752856,53.29392802,3.341552385,34.88372093,*,98.5497693,52.44738956,6.837606838,79.38475979,81.48599164,*,85.80431853,*,*,17.04006298,*,*,*,97.94110976,50.34011949,77.9922,1.724202539,0.06655574,*
7.57E+17,68.19332794,*,99.89949749,85.94661301,*,20.04271258,89.47028234,91.36203282,69.75284379,55.26819923,97.63969106,37.82647507,45.9155062,46.61151206,44.29301533,81.08721376,91.84693431,85.71428571,60.0601464,99.6,99.29435484,*,25.48414266,21.84896034,95.78119193,49.9055239,64.28682777,49.41829688,4.800106692,33.55481728,*,98.78048779,*,*,80.43852335,77.47858968,*,87.73325951,*,*,18.50175817,96.14705596,97.7423051,*,97.94110976,*,74.6592,2.271673294,*,*
7.89E+17,66.24432856,*,99.89949749,86.00795812,*,21.57602392,90.88322919,91.93482169,72.27962136,54.7755884,97.67471259,55.6219184,48.19139953,48.84703397,46.59284497,84.60643997,90.4865503,90.81632653,63.86327566,99.6,99.39516129,*,22.79431755,19.30098538,96.03518772,45.95536578,68.07324107,45.01387555,7.160324953,32.55813953,*,99.56690224,*,11.96581197,81.4310108,72.05060477,*,88.76097417,*,*,18.86746375,96.36512611,98.88142781,*,97.94110976,*,72.9927,4.862780635,0.332778702,0.206327373
8.20E+17,64.29532918,*,99.89949749,85.63325972,96.70886076,25.58356668,92.37503342,92.00502791,77.71278944,54.13245758,97.70973411,37.45616776,49.93597206,51.31138884,48.63713799,84.56093517,88.44776015,89.79591837,67.57710109,99.6,99.39516129,*,22.33957115,20.76647261,96.03828522,59.30072623,73.22232553,41.55559054,9.91265297,31.56146179,*,100,*,12.82051282,82.4064771,69.96428581,*,91.28371877,*,*,22.20007412,97.29434538,97.43164665,*,97.94110976,*,85.9914,9.237088297,5.657237937,5.845942228
8.52E+17,62.3463298,*,99.89949749,86.60826551,*,32.65979211,93.79566303,92.96152595,78.48370468,54.07772304,97.74475564,52.29144175,52.16722983,53.47650062,51.07325383,86.2526748,89.78510914,92.85714286,68.28778077,99.7,99.49596774,*,19.5534053,21.69756346,96.55247182,68.44362914,73.95620254,38.26922006,12.77006612,30.56478405,*,98.40201857,*,7.478632479,83.37080229,68.35584943,*,92.10242326,*,*,27.49517123,96.48188521,97.08931788,*,97.94110976,*,77.82555,16.41935296,0.06655574,0.068775791
8.84E+17,60.39733042,96.92791961,99.89949749,87.47158588,*,42.32178953,94.05494407,92.77325371,81.18813447,53.9408867,97.77977717,61.81254638,54.77740915,55.25435663,53.86712095,89.17907917,92.6164247,92.85714286,70.37535899,99.7,99.49596774,100,18.33182413,17.30421093,97.0635609,81.79010192,76.3747767,36.66066169,15.84044654,29.56810631,*,98.64498647,100,8.547008547,84.38062035,70.738273,*,94.33217188,*,*,35.76817128,*,*,94.61444921,97.94110976,*,*,21.61640097,0.06655574,0.034387895
9.15E+17,58.48433646,88.09480227,99.89949749,86.97792037,*,49.08130565,95.98809932,92.47836983,76.82823644,54.70717022,97.81479869,61.30124888,57.16559703,56.59214927,56.60988075,91.11450486,96.95740179,93.87755102,70.4362925,99.7,99.49596774,97.77774914,11.62412118,11.49038823,97.25560649,92.9464098,74.0798321,34.4647557,19.57458602,28.90365449,*,99.73952166,*,6.41025641,85.37001304,68.49115588,*,96.40521324,*,*,44.44253552,100,97.19595693,95.44840086,97.94110976,*,76.9923,30.09319659,0.133111481,0.103163686
9.47E+17,56.57134251,83.46866896,99.89949749,87.63509267,*,59.60418272,96.91557741,93.89482608,75.24168104,54.93979201,97.84982022,64.54254694,60.06598657,59.46136244,59.36967632,92.98695857,100,93.87755102,74.16500935,99.7,99.59677419,97.14271608,16.39119598,16.19636699,97.25870401,100,75.21475434,33.21709033,24.04576859,28.57142857,*,99.83095869,*,11.32478632,86.35600151,67.47032435,*,96.1642607,*,*,54.35111766,*,96.39188273,95.72470118,97.94110976,*,*,35.84872446,0.665557404,0.687757909
9.78E+17,54.65834855,83.37533217,99.89949749,89.64117584,*,60.97534616,99.75537348,95.47853754,78.14606049,56.26710454,97.88484174,56.37315646,63.23910357,63.4923429,62.91311755,93.98778118,98.62625725,92.85714286,82.16289968,99.7,99.59677419,96.69682242,24.3729711,24.99640759,97.32684922,96.0312042,82.16122031,33.50305334,30.25221415,27.90697674,*,95.12195125,*,6.837606838,87.32231074,65.38035954,*,100,*,*,58.4886082,96.50407994,95.49770844,95.8616879,97.97101361,*,78.6588,43.07916264,*,*
1.01E+18,52.74535459,81.66669841,99.89949749,87.23232903,*,58.03009918,95.19895508,92.76502027,70.82893521,55.56923919,97.9635918,13.44496683,64.66830081,64.84773807,64.49744463,87.9365817,95.13487324,92.85714286,75.38335306,99.8,99.59677419,92.43022449,24.40918569,20.92008028,97.58084501,86.06557242,74.3730262,33.62767628,35.14572524,27.57475083,*,97.78439725,*,8.760683761,88.19086693,58.15191435,55.0000012,94.7760664,*,*,48.85959085,97.28373979,96.29560496,97.1872044,97.97101361,*,75.3258,49.08083159,100,100
1.04E+18,50.83236064,70.26350722,100,87.12970623,92.15189873,52.39573194,97.02001201,92.9482128,66.91832064,55.2955665,98.04234186,24.60540419,66.2166149,65.95669776,65.74105622,86.04250579,92.70604914,92.85714286,74.69595804,99.8,99.69758065,88.82331471,16.44263751,11.74023354,97.70784291,65.83242831,71.39954766,37.11349216,38.41760871,27.24252492,*,99.26740973,60.45626176,7.051282051,89.01290711,54.51242206,64.9999976,84.43222622,*,*,40.80778341,96.85048684,95.61619452,98.48775973,97.97101361,70.12620924,77.49225,58.78540388,0.133111481,*
1.07E+18,50.00117665,81.90197687,99.79899497,86.91070012,*,51.21181401,97.10253707,92.36623872,66.22317233,56.03448276,98.12109192,38.66568856,68.83842055,70.32212639,68.07495741,86.37526645,89.96530429,94.89795918,76.96711473,99.8,99.69758065,89.29015456,21.35823013,16.80385479,97.8348408,81.0246612,72.92920321,41.19923574,43.13282828,26.910299,33.52662149,97.95420506,*,6.837606838,89.78125394,50.49855232,*,81.43196678,*,*,39.49862779,97.13223644,97.37666541,98.13575997,97.97101361,*,83.6583,61.69711712,*,*
1.10E+18,49.16999266,90.75828995,99.79899497,87.32946605,*,58.6540949,97.69429338,93.40130556,70.53068448,56.14395183,98.19984198,52.1517771,72.73273543,76.88787185,71.99318569,89.83171817,88.37662265,94.89795918,84.17709665,99.8,99.69758065,90.46296911,29.45211647,19.81762753,98.40788007,86.93764508,78.93549796,43.23541679,49.18859023,26.910299,40.16426797,95.81665482,*,1.923076923,90.61602192,54.37649216,*,81.74477064,*,*,46.33763297,97.77198777,97.88632294,97.61982504,97.97101361,*,77.9922,64.75825648,*,*
1.14E+18,48.33880867,82.6607447,99.89949749,87.03411185,*,59.96837474,100,92.98559948,73.24943917,56.29447181,98.27859204,46.08315181,76.87254638,81.5701461,76.21805792,92.60811655,87.28410101,93.87755102,88.96686065,99.8,99.7983871,91.59078048,34.46395144,25.1140265,98.40788007,84.8819361,83.27027936,43.90538339,53.72664682,26.57807309,42.45880168,92.5527664,*,4.273504274,91.45510274,54.15493999,55.0000012,87.03798456,*,*,49.47367702,97.45645441,98.06127604,97.42395571,97.97101361,*,79.82535,67.96805292,*,*
1.17E+18,47.50762468,74.14988922,99.89949749,84.82262435,*,64.87610621,99.11482062,91.22167387,78.07387149,57.69020252,98.53419113,36.73500319,80.56653414,84.63298715,80.73253833,93.04702038,87.73657838,93.87755102,93.06719308,99.9,99.7983871,93.27388301,32.90688373,23.87930764,98.66187586,92.32964785,87.95942623,43.49388181,59.99903816,26.24584718,45.76656513,91.27350024,*,1.282051282,92.34122753,56.65440712,*,90.56335349,*,*,53.72029517,97.21136424,97.78511869,97.06706131,97.97101361,*,77.6589,68.93119327,0.03327787,0.034387895
1.20E+18,46.67644069,76.20286928,99.79899497,85.37272705,*,74.93165779,99.65614247,91.93879358,84.2518687,58.01860974,98.78979023,24.50129403,83.38492835,85.6187291,82.48722317,89.13236508,79.4631368,93.87755102,94.45695292,99.9,99.7983871,92.52373714,28.50543198,21.11625052,99.04286954,89.95989354,90.60298878,43.93751833,64.53717912,25.91362126,52.13706853,91.85196971,58.44920747,1.923076923,93.22363305,55.87892357,*,90.94130767,*,*,60.52261708,97.22004886,98.47203616,97.25757813,97.97101361,80.35544688,*,75,*,*
1.23E+18,44.4064518,80.81996543,99.79899497,82.01371143,97.59493671,63.93376041,99.69974207,88.73813982,91.70029487,56.70498084,99.04538932,-4.017329736,83.97462394,86.833304,82.86201022,82.89104692,75.66161988,93.87755102,100,99.9,99.7983871,90.40248859,21.01072547,28.41805505,99.10791724,51.47962722,97.22925459,48.19762011,67.01049733,25.24916944,43.76140334,87.33364093,*,3.846153846,94.10958639,55.57398949,*,86.65024052,*,*,50.04042333,96.86013763,98.37105867,97.81779404,100,*,74.7703,74,0.06655574,0.068775791
1.26E+18,42.1364629,74.05425215,99.79899497,76.22076449,*,50.52391233,94.22921001,83.62700369,80.68882768,54.78927203,99.30098841,-38.23524349,81.54589961,84.58017955,80.49403748,69.83779191,62.72270766,91.83673469,78.92443723,99.9,99.89919355,84.41822163,8.134265196,-2.631849282,99.55395862,68.36021268,76.40914225,52.95732222,69.69572568,24.91694352,37.31402285,94.12665294,*,2.136752137,94.93822614,51.50734544,40.0000006,76.68842562,*,*,38.80376328,97.82891516,97.79998419,99.75590931,100,*,*,71,0.599001664,0.618982118
1.29E+18,39.86647401,82.31472257,99.89949749,77.48184844,96.70886076,60.66168985,97.73370773,84.86130821,90.70302891,52.84619595,99.5565875,34.87932615,83.92682831,86.16440767,83.27086882,73.35367943,58.2867636,93.87755102,90.68767306,99.9,99.89919355,85.14836196,13.08180816,12.14004355,99.74600421,75.50565936,89.84357889,53.28650903,71.80963693,24.25249169,47.51527884,92.37134235,*,3.632478632,95.73564013,49.14365956,*,80.43262032,*,*,46.69667818,96.95469063,96.66541262,99.38506609,100,*,70.3263,71.69,0.133111481,0.137551582
